"iso_a3","exports_mid","exports_low","exports_high","incidence_mid","incidence_low","incidence_high","month","variant"
"AUT",0,0,0,5543.40835273747,2799.64516129032,8713.88772648196,"march",FALSE
"BEL",0,0,0,3934.18297680695,3578.77419354839,97949.133401236,"march",FALSE
"BGD",0,0,0,2422.54136181094,2099.32258064516,2652.89551953173,"march",FALSE
"BGR",0,0,0,9653.50753607603,8702.70487143483,10834.8760929995,"march",FALSE
"BHR",0,0,0,732.250446542721,711.322580645161,833.64138165409,"march",FALSE
"BLR",0,0,0,1171.88349254117,1113.12358033737,1230.64337603318,"march",FALSE
"BMU",0,0,0,NA,NA,NA,"march",FALSE
"BRB",0,0,0,18.9461813516764,18.8387097562061,19.5798930853973,"march",FALSE
"CAN",0,0,0,NA,NA,NA,"march",FALSE
"CHE",0,0,0,1829.25970189593,1490.06451612903,6072.79494342156,"march",FALSE
"CHN",0,0,0,NA,NA,NA,"march",FALSE
"CPV",0,0,0,66.9048739089443,66.7741935483871,68.2759977998398,"march",FALSE
"CYP",0,0,0,363.380002294979,359.903225806452,377.778444330671,"march",FALSE
"CZE",0,0,0,19912.1441507597,17988.8345034909,22456.0056877058,"march",FALSE
"DEU",0,0,0,196139.731548613,143325.951242802,214602.993083232,"march",FALSE
"DNK",0,0,0,639.426020620235,626.193548387097,721.421363632704,"march",FALSE
"ESP",0,0,0,3691.31701337515,3090.26682722355,5636.69226421781,"march",FALSE
"EST",0,0,0,1345.63200502625,1327.60928019471,1377.65266378383,"march",FALSE
"FIN",0,0,0,702.901638609185,675.388799420937,744.966733180795,"march",FALSE
"FRA",0,0,0,49119.7767831587,29155.9187285283,95496.2055516134,"march",FALSE
"GBR",NA,NA,NA,NA,NA,NA,"march",FALSE
"GGY",0,0,0,NA,NA,NA,"march",FALSE
"GIB",0,0,0,NA,NA,NA,"march",FALSE
"GRC",0,0,0,6923.94826987175,6173.51070453254,8860.12687652781,"march",FALSE
"HKG",0,0,0,NA,NA,NA,"march",FALSE
"HRV",0,0,0,1518.02238334883,1347.22532781794,1747.32226880335,"march",FALSE
